,Review,Rating,Audio Sentences,Audio Polarity,Audio Descriptors
17,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['']
46,"battery life is great, once you are not doing to much things. i had a glitch with the mouse the first day i bought it. but i have not seen it again from that day. it is portable, nice slim laptop, not heavy, work well so far. camera quality is not so good, i think apple could have updated their camera quality, but it is fine anyways, usable. the speakers are loud and nice. nice sound quality.",5/5,the speakers are loud and nice | nice sound quality,0.42,"['and loud', '']"
58,"this is my first mac. it was not hard to get used to it as the laptop itself works great and has all the features needed. the battery life is extreme. way longer than i expected. it also charges real quick. nice that it uses a usb c plug to charge, it can be plugged in at any usb c plug. the only thing is that it only has two usb c ports. no sd or micro sd reader. i used an external seagate hard drive with my windows laptop and now use it with the mac, just had to download free software from seagate. the hard drive has 2 usb a ports that i can use to connect some of my devices that do not have a usb c plug. but this macbook air is super cool. the camera and microphone have great picture and sound quality. i have not even had a need to use my external blue mic yet.",5/5,the camera and microphone have great picture and sound quality,0.6,['']
67,"so forget about all the other reviews. this is the skinny from a higher learning teacher: is it fast? yes. if you are browsing the web, watching videos, etc. it is faster than my msi with 16gb ram and rtx 2060 video card. is it silent? yes. it is the whole reason i bought it, so good for me. how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done. the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down. did not use it for a couple days, came back to get it and the battery was completely dead. zero! i was very surprised. i can always leave an msi, lenovo, hp, on sleep mode for a week or more. those are the things i have experienced in my first week. hope it helps.",3/5,"how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done",0.25,['with faster']
69,"the macbook air is as advertised. fast and easy to use with a long battery life. too few ports for my taste, and the keyboard is only ok. i use a logitech mouse via bluetooth, and it is responsive. one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines.",5/5,one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines,0.24,['than better']
129,"no complains so far. very fast and performs great. i had a 2020 march version of macbook pro and i think this november release is better. battery life is much better and also, audio and video seem improved compare to older release.",5/5,"battery life is much better and also, audio and video seem improved compare to older release",0.33,['much better']
133,"i was looking to upgrade from my current dual core intel i7 windows laptop and tablet. the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . this laptop is fan-less and gets very warm/hot only when constantly exporting very large 5gb+ files - otherwise it runs cool to cold. i edit photos on this laptop and my editing software opens much faster and the edits occur very quickly. the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. the mac os memory management allows 8gb to be more than enough for my projects. the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. my photo editing software runs faster and is more responsive than on my windows devices. also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. i purchased this used base model used at a substantial savings over the list price which made it a fantastic value. i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue. the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. i run microsoft office 365 on my macbook air. i notice that office 365 takes a second or two longer to load but once loaded office 365 runs as fast as it does on windows. i do not use this laptop for gaming, video editing, or to connect multiple monitors so i cannot comment on those uses. i was not expecting this level of performance from an entry-level device. do not get caught up in the hype that this base model can replace the macbook pro models for heavy work loads or professional use - it does not have the heat distribution (fans) to dissipate the heat to prevent thermal throttling under heavy computing or gaming. for most users, just use and enjoy your 2020 macbook air m1!!",5/5,"this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options",0.19,['richer']
135,zoom calls perfect and beautiful. video quality is excellent. performance is amazing. running parallels and windows 11 preview. screen looks beautiful. movies look amazing. audio is loud and sounds spacial. battery lasts easily all day and sometimes two days.,5/5,audio is loud and sounds spacial,0.1,['loud spacial']
137,my first day. i have used macbooks since 2006 when the first intel processors were used. the m1 chip is amazing. i now understand why 8 gb of ram is perfect for this model. crystal clear text rendering. silky-smooth touch pad. nice tactile response on keyboard— big improvement over the troublesome keyboards of the last 7 years. speakers are lovely. very pleased. battery fully charged. was able to easily migrate from my old 2016 macbook retina 12. easy to connect with icloud and mac account. a couple of my non-apple apps required rosetta to run with m1 processor—smooth download of rosetta. anyone needing a high end camera might go for the macbook pro but this is fine for my needs.,5/5,speakers are lovely,0.5,['lovely']
141,"the device is silent because it has no fans, the screen is not oled but it looks incredible for watching movies with vibrant colors and is very sharp making it great for text documents with small fonts. the battery life is incredibly good i can constantly get over a day with moderate to high use and yet somehow still manages to be an incredibly light device. it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop. it runs mac os which can be hard to adapt too but it is alot less power intensive than windows so you rarely have to worry about overheating or battery in daily use. if you are a professional video or photo editor or run intensive task look towards a pro computer and for everyone else this is a great choice.",5/5,"it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop",0.38,['really very loud good']
196,"i own over 50 computers and it blows away my 11th gen dell xps 13 i7, my surface book 3, my ryzen 7 thinkpad. the first week i got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. i felt guilty and charged it. the geekbench 5 rating beat all those listed laptops and they had 16 or 32gb of memory and the macbook pro m1 had only 8gb of unified memory. the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did. i am an it consultant and deal in windows based databases and this mac has now become my daily go to system at home. it has become my new front end.",5/5,"the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did",0.62,['screen great superb bright']
218,"a nice, lightweight computer with beautiful screen and nice sounding audio speakers. battery life is awesome.",5/5,"a nice, lightweight computer with beautiful screen and nice sounding audio speakers",0.68,['beautiful nice audio']
