,Review,Rating,Battery Sentences,Battery Polarity,Battery Descriptors
0,love this machine. have had it a couple months and it is fast battery lasts insanely long.,5/5,have had it a couple months and it is fast battery lasts insanely long,0.08,['insanely fast long']
1,"the battery life is awesome, just one charged in a day in case you use it for demanding tasks.",5/5,"the battery life is awesome, just one charged in a day in case you use it for demanding tasks",1.0,['awesome']
2,excellent battery life! i love everything about this macbook. the only let down was the camera quality.,5/5,excellent battery life! i love everything about this macbook,0.75,['excellent']
3,absolutely love it!!!! came on time battery life is good i absolutely love the color,5/5,absolutely love it!!!! came on time battery life is good i absolutely love the color,0.73,['good']
4,"this is my first macbook and thank you for changing the shipping restrictions, i was able to buy one. i am still adjusting with the keyboard and the os coming from a long time windows user. the battery life is amazing. better than my windows laptop. hopefully i can buy the higher specs next time, i do not mind paying the tax. i originally wanted to get the 16gb ram and 1tb storage, but it does not ship to my location. and thanks for the fast shipping.",5/5,the battery life is amazing,0.6,['amazing']
5,"10/10 recommend, battery life is fantastic i charged it when i first got it & it is still at 97%",5/5,"10/10 recommend, battery life is fantastic i charged it when i first got it & it is still at 97%",0.33,['fantastic']
6,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,5/5,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,0.38,['and great']
7,the battery life is amazing and the speaker are good too,5/5,the battery life is amazing and the speaker are good too,0.65,['amazing good']
8,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,5/5,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,0.78,['great']
9,i was happily surprised to see how good the battery life was compared to my other computers,5/5,i was happily surprised to see how good the battery life was compared to my other computers,0.22,['how see surprised good']
10,i like the portability and ease of use. the battery life is excellent.,5/5,the battery life is excellent,1.0,['excellent']
11,"as many others have shared, the apple macbook air m1 is a great laptop. the display is gorgeous. the keyboard is accurate and smooth. apple has the best trackpads! battery life is so good that there is no anxiety over having enough power to finish the day.",5/5,apple has the best trackpads! battery life is so good that there is no anxiety over having enough power to finish the day,0.57,['so good']
12,this is a superb machine. outstanding battery life. very fast as well. i would recommend 10 out of 10,5/5,outstanding battery life,0.5,['outstanding']
13,"love love love it! perfect condition. nice color of screen, runs fast, battery life great!",5/5,"nice color of screen, runs fast, battery life great!",0.6,['great']
14,love yes the real thing works good pretty loud honestly camera should be better for what it is worth battery life is pretty good,5/5,love yes the real thing works good pretty loud honestly camera should be better for what it is worth battery life is pretty good,0.41,['pretty good better good']
15,"the battery only lasts a few hours before it is dead, despite being used for menial tasks that do not typically drain a battery much. not at all what i was expecting based on their marketing.",1/5,"the battery only lasts a few hours before it is dead, despite being used for menial tasks that do not typically drain a battery much",-0.02,['dead']
16,"the 2020 macbook air bigsur os is one of the newest computers on the market at the moment and one of apple’s best designs. apple has had many macbook models throughout their many years of being the best electronic company, but the bigsur os has many features that other models and other company computers do not have. this macbook comes with high quality upload speed, all-day battery life, and superfast memory, which makes it the best choice for any computer or laptop right now.",5/5,"this macbook comes with high quality upload speed, all-day battery life, and superfast memory, which makes it the best choice for any computer or laptop right now",0.48,['superfast']
