,Review,Rating,Display Sentences,Display Polarity,Display Descriptors
6,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,5/5,screen quality is great and battery lasts long it takes me a couple of days before putting it on a charger,0.38,['and great']
8,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,5/5,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,0.78,['great']
11,"as many others have shared, the apple macbook air m1 is a great laptop. the display is gorgeous. the keyboard is accurate and smooth. apple has the best trackpads! battery life is so good that there is no anxiety over having enough power to finish the day.",5/5,the display is gorgeous,0.7,['gorgeous']
13,"love love love it! perfect condition. nice color of screen, runs fast, battery life great!",5/5,"nice color of screen, runs fast, battery life great!",0.6,['']
17,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['']
20,purchased as a replacement upgrade for older macbook. very happy with screen and battery life. we also own macbook pro and one other mac air so we are picky! highly recommended.,5/5,very happy with screen and battery life,1.0,['']
22,"i could not ask for more from a $900-1000 laptop. the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",5/5,"the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",0.8,['']
25,worst computer i have used. screen dead after one month. battery is not lasting long. freezes and input output very slow.,1/5,screen dead after one month,-0.2,['']
29,"i have both an ipad and iphone so i thought is would be make sense to have a mac so everything is in one ecosystem, as it were. to some extent this has indeed proved true and useful. i am coming from a surface pro 7. the mac air's battery life is much less than advertised. the claim is around 10 hours, i doubt i get 5, and i am mostly doing internet browsing and word stuff. battery life from fully charged was about 1 hour while on zoom. the battery life of the surface is better. word for mac is a little different than word for a pc, but the differences are minor and manageable. but documents open more slowly on the mac, and mine has the m1 chip. on the surface, documents usually open immediately. on the mac it might take 5 seconds, not an eternity, but a little annoying. the surface boots up much faster than the mac. i have a dvd with a number of workouts on it. i could not get any individual workouts to open using the mac's native software. so i downloaded vlc. it works fine on the mac, but takes a long time to open, about a minute. this seems to be true of any software not downloaded from the app store, including firefox. there do not appear to be mac apps for either. on the other hand, the mac has a better screen than the surface. while the surface is quite a good laptop, it is a marginal tablet, and i almost never use it as a tablet. when i am not sitting at a desk, i prefer the mac because the two parts cannot come apart as can happen on a surface. the new mac keyboard works great, maybe a tie with the surface. so a mixed bag. as i mentioned, i like having everything in one ecosystem, so likely that is enough of a benefit to keep the mac. i am mulling over upgrading to the macbook pro 13 because of its bigger battery, but do not know if i want to spend the extra money.",4/5,"on the other hand, the mac has a better screen than the surface",0.19,['']
33,"i love this laptop. it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours. in power saver mode. it was only two years old and rarely used until i started a new job and school. i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life. because i have an iphone, i can make calls and send texts with it. my ipad can be used for sidecar, which is basically wireless screen mirroring, allowing me to have a portable second monitor. the mac does not skip a beat- i can leave it closed overnight, and everything is exactly the same the next morning without crashing or reloading. it is not at all heavy, and the size is exactly what a laptop should be. the mac os not supporting steam titles thing is not a huge deal- if i want a gaming machine, i have a desktop. for getting things done, this is an absolutely perfect daily driver, and i would not hesitate to recommend it to anyone. my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life. overall, try a macbook air… you will like it.",5/5,"my ipad can be used for sidecar, which is basically wireless screen mirroring, allowing me to have a portable second monitor",0.0,['']
35,"cannot add much that has not already been said. i upgraded from a 2017 macbook air and find this to be superior in just about every way. the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad. i do not use the camera but it is not the greatest from what i understand and i do kind of miss the magsafe connector.",5/5,"the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad",0.17,['much better better smaller']
38,"i bought this to replace a 2015 macbook pro, and it is worked out great. better screen and better battery life. much faster processor. also much thinner and lighter yet i can use my existing laptop sleeve. happy with this.",5/5,better screen and better battery life,0.5,['']
39,i love this laptop it is very light it is very thin the screen is a great size not too big not too small the battery life is great mine did not come with the touchscreen but i really do not have a need for it the keyboard is perfectly fine i highly recommend this laptop i cannot say anything bad about it would buy it again,5/5,i love this laptop it is very light it is very thin the screen is a great size not too big not too small the battery life is great mine did not come with the touchscreen but i really do not have a need for it the keyboard is perfectly fine i highly recommend this laptop i cannot say anything bad about it would buy it again,0.15,['perfectly very very light thin fine']
44,first mac laptop i have owned and i am very impressed! display colors are incredible. processing speed with the m1 chip is amazing. super long battery life and light weight. so much packed in a thin design!,5/5,first mac laptop i have owned and i am very impressed! display colors are incredible,0.72,['very impressed incredible']
48,"no complaints so far - in fact, i am actually very impressed! the battery life is incredible (although i have only had it for two days!) and the screen, keyboard, and body are great. i had a macbook pro (2012) eons ago and this is obviously far and above that.",5/5,"no complaints so far - in fact, i am actually very impressed! the battery life is incredible (although i have only had it for two days!) and the screen, keyboard, and body are great",0.56,['very impressed incredible great']
50,i never owned a mac before and i am very pleased with this purchase. i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days. no issues with damages or overall quality. screen quality/graphics are great. i am able to play most of the computer games i wanted to on here with no overheating issues. battery lasts a while depending on what i am doing and charges very quickly.,5/5,screen quality/graphics are great,0.8,['great']
52,so my thoughts are on the m1 air version and i must say its a great machine for the price it is my first apple device as i am a pc gamer but i had to have this because of the arm chipset being that it surpasses a lot of x86 chipsets it is very impressive the battery life is by far the most impressive thing about it...nothing at the moment beats the battery life it is great it has a great ips display as well looks very vivid and sharp,5/5,nothing at the moment beats the battery life it is great it has a great ips display as well looks very vivid and sharp,0.41,['very great great vivid']
56,beautiful and looks really nice. quality looks like true apple quality. battery life is respectable. no touch screen but keyboard makes it easy to use,5/5,no touch screen but keyboard makes it easy to use,0.43,['']
66,"not much to say, excellent product overall. no cons except lack of ports. all day+ battery life, excellent screen. keyboard is good as well. i have the 8 gb ram version but have not seen any lag due to it. use it often to run demanding simulations and it has not disappointed me so far.",5/5,"all day+ battery life, excellent screen",1.0,['']
68,i replaced on older 2009 macbook pro with this new model from apple. it has the new m1 chip and it is fast. for the type of things i do in a home office this is lightning fast. i do not do a lot of editing of videos or play video games on it so my work load is pretty mundane compared to others. i like it though because it is lightweight when i take it to my den or on a trip in my computer bag. the battery lasts a long time and the keyboard is very responsive. love the screen clarity. i have not found any of my regular apps having any difficulty running on the new chip. i did set up a new camera connection app to see how it would do and had no issues either. it is running in the background and when they update to work specifically with the new chip it should work even better. i do not have any negatives with this computer. i have been an apple fan for several years now and so use to it that i have great difficulty when trying to use a window's based computer.,5/5,love the screen clarity,0.5,['']
71,"what i liked: apple's construction quality is second to none. unboxing this is a delight, it is just a beautiful machine. you can start working with it as soon as the initial setup is done, which might take a few minutes. love the display, bright colors, nice resolution, everything looks crisp. keys are a delight to type with, real smooth. battery life is the best i have ever witnessed, i just recharge this thing every other day, whereas my previous laptop would use three rounds of charge a day (and i had for just one year).",4/5,"love the display, bright colors, nice resolution, everything looks crisp",0.51,['crisp']
72,"this laptop actually lives up to all the hype about the m1 chip and such. it is lightning fast, smooth, clear easy to read screen and the battery lasts and lasts for all day and then some. also i have noticed that with any normal use it does not even get warm so the lack of a fan is not a detriment but nice as a nonexistent fan cannot make any noise. i was slightly skeptical but as a multiple apple owner not surprised i was happy. seriously i just sent a 3 year old ipad that had been used hard daily for a battery replacement and received a brand new ipad 3 days after i sent it in. that is service as well.",5/5,"it is lightning fast, smooth, clear easy to read screen and the battery lasts and lasts for all day and then some",0.28,['']
75,"i love this macbook! the battery life is amazing and i have been able to complete work tasks easily. i love the size because i can carry the macbook when i travel without having to use a big laptop bag. the screen quality is great, but i had a little difficulty seeing the screen outside in a sunny area. although, when i found some shade i had no problems at all. i am not outside much in the sun on the macbook so this is not a big deal for me. overall, great product in my opinion. it is perfect for what i need to do for work.",5/5,"the screen quality is great, but i had a little difficulty seeing the screen outside in a sunny area",0.2,['great']
76,i got this for school after my hp computer's battery stopped working. it is really great for the price! the screen resolution is really nice and the touch id is a good add on. i really wish apple would make touch screen macbooks but they probably never will. it also does not have a usb port which is kind of weird. learning the controls takes some time but overall a great computer!,4/5,it is really great for the price! the screen resolution is really nice and the touch id is a good add on | i really wish apple would make touch screen macbooks but they probably never will,0.62,"['really really great nice', '']"
79,"i have had and used iphones from the beginning and had ipads since the ipad 2 but this is my very first mac and i thought it might be a lot to learn this os but things were familiar cuz i have used and owned ipads and iphones. i am still having to learn a few things and had to google questions on how to do somethings but it is been a good experience. i really did not expect that. i love the os big sur and now cannot wait to the next os. i only got 256gb cuz i did not know if i would like this plus i knew i had to learn the os. now, i am waiting for the m2 mac book pro, i plan to invest a lot more money into that one now i know that i like the apple os. looking at getting 2tb 32gigs of ram! i like that it runs the apps from ios or ipados! i wish the screen was better though. i am talking at least mini-led but would prefer oled for what i use it for. battery life is amazing! camera quality sucks. come on apple, give us the 2021 m1 ipad pro camera and stop being so cheap!",5/5,looking at getting 2tb 32gigs of ram! i like that it runs the apps from ios or ipados! i wish the screen was better though,0.5,['better']
