,Review,Rating,Hardware Sentences,Hardware Polarity,Hardware Descriptors
2,excellent battery life! i love everything about this macbook. the only let down was the camera quality.,5/5,the only let down was the camera quality,-0.08,['']
3,absolutely love it!!!! came on time battery life is good i absolutely love the color,5/5,absolutely love it!!!! came on time battery life is good i absolutely love the color,0.73,['good']
8,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,5/5,love this laptop best purchase yet! screen quality is amazing battery lasts forever and camera quality is great!!,0.78,['great']
11,"as many others have shared, the apple macbook air m1 is a great laptop. the display is gorgeous. the keyboard is accurate and smooth. apple has the best trackpads! battery life is so good that there is no anxiety over having enough power to finish the day.",5/5,apple has the best trackpads! battery life is so good that there is no anxiety over having enough power to finish the day,0.57,['so good']
14,love yes the real thing works good pretty loud honestly camera should be better for what it is worth battery life is pretty good,5/5,love yes the real thing works good pretty loud honestly camera should be better for what it is worth battery life is pretty good,0.41,['pretty good better good']
17,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['']
18,this is a very good laptop and easy to use. a few things i have noticed is the backlit keyboard is very nice and adjusts automatically. the keyboard is easy to type on and get used to and the touchpad is great. the battery is extremely good too.,5/5,the keyboard is easy to type on and get used to and the touchpad is great,0.62,['type easy great']
19,"i absolutely love my new macbook. when it arrived i answered a few questions, connected it to my wifi and off i went. it has been a buttery smooth experience. keyboards are one of those things that are dependent on user preferences, but for me it is the best feeling keyboard i have ever owned. many professional reviewers agree it is terrific. the multi-touch pad is brilliant, and now that i know the many different combinations of fingers and movements i zip around getting work done. for example a two-finger swipe right goes back to the previous web page, no need to hit that back button. it is also custom configurable to your touchpad needs. what i appreciate most is the total cost of ownership value. i bought final cut pro x when it came out 10 years ago yet there was no charge to get the latest version downloaded from the app store. it does everything i need without an ongoing subscription fee like others have. i still cannot get used to how fast it works, it took me an hour to render a video on my old mac but this macbook did it in just a few minutes. and it is cool and quiet! i am using a huge 70"" 4k monitor as my secondary monitor. battery life is ridiculous. i plug it in every 2 or 3 days depending on my workload, which is several hours per day. i think the web camera is fine for me and many notebooks use this same 720p size. i join one zoom conference per week, so it does not really matter. the one thing i hope gets updated with the next release are the ports. i am using a hub because it only has two thunderbolt ports. i recommend this notebook to all my friends and family.",5/5,it is also custom configurable to your touchpad needs | i bought final cut pro x when it came out 10 years ago yet there was no charge to get the latest version downloaded from the app store | i think the web camera is fine for me and many notebooks use this same 720p size | the one thing i hope gets updated with the next release are the ports | i am using a hub because it only has two thunderbolt ports,0.2,"['custom configurable', '', 'fine', '', '']"
22,"i could not ask for more from a $900-1000 laptop. the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",5/5,"the trackpad, the keyboard, the screen, the performance, the battery life, all great 👍👍👍👍👍👍👍👍👍👍",0.8,['']
23,"the new macbook air with the m1 chip is overall amazing! it is definitely worth the money! the all-new chipset has turned the air lineup into a beast! my only complaint is the camera. apple has stuck to the same 720p camera and claiming the neural engine makes it better? i am not convinced it is any better, and it is really a disappointment compared to other notebooks in its class. also, the inability to adjust the keyboard brightness from the keyboard. it is adjustable from the settings and easily accessible… but it is just an inconvenience. it is a petty complaint but for the money, this should be standard (it previously was on older models). aside from that, this notebook is amazing! lightning fast and the best battery life i have ever seen! overall, if you are in the apple ecosystem and you are looking for an amazing laptop with all day battery life - this is the one for you!",5/5,"the new macbook air with the m1 chip is overall amazing! it is definitely worth the money! the all-new chipset has turned the air lineup into a beast! my only complaint is the camera | apple has stuck to the same 720p camera and claiming the neural engine makes it better? i am not convinced it is any better, and it is really a disappointment compared to other notebooks in its class",0.12,"['money overall amazing worth', 'any not is convinced better']"
33,"i love this laptop. it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours. in power saver mode. it was only two years old and rarely used until i started a new job and school. i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life. because i have an iphone, i can make calls and send texts with it. my ipad can be used for sidecar, which is basically wireless screen mirroring, allowing me to have a portable second monitor. the mac does not skip a beat- i can leave it closed overnight, and everything is exactly the same the next morning without crashing or reloading. it is not at all heavy, and the size is exactly what a laptop should be. the mac os not supporting steam titles thing is not a huge deal- if i want a gaming machine, i have a desktop. for getting things done, this is an absolutely perfect daily driver, and i would not hesitate to recommend it to anyone. my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life. overall, try a macbook air… you will like it.",5/5,"my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life",0.0,['']
35,"cannot add much that has not already been said. i upgraded from a 2017 macbook air and find this to be superior in just about every way. the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad. i do not use the camera but it is not the greatest from what i understand and i do kind of miss the magsafe connector.",5/5,"the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad | i do not use the camera but it is not the greatest from what i understand and i do kind of miss the magsafe connector",0.31,"['much better better smaller', '']"
45,"no issues with this macbook, came in perfect condition, very easy to navigate, love the touch id, and the camera quality is okay, not as good as a phone. the battery lasts about an entire day, and the charger that comes with it is super high quality. buttons are very big and easy to see and push, the lighting on them is perfect. the touch pad being bigger is wonderful! very light and easy to handle, get as much storage as you can afford. able to do everything i need & more, 100% recommend.",5/5,"no issues with this macbook, came in perfect condition, very easy to navigate, love the touch id, and the camera quality is okay, not as good as a phone",0.65,['not not okay good']
46,"battery life is great, once you are not doing to much things. i had a glitch with the mouse the first day i bought it. but i have not seen it again from that day. it is portable, nice slim laptop, not heavy, work well so far. camera quality is not so good, i think apple could have updated their camera quality, but it is fine anyways, usable. the speakers are loud and nice. nice sound quality.",5/5,"camera quality is not so good, i think apple could have updated their camera quality, but it is fine anyways, usable",0.56,['not so good usable']
50,i never owned a mac before and i am very pleased with this purchase. i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days. no issues with damages or overall quality. screen quality/graphics are great. i am able to play most of the computer games i wanted to on here with no overheating issues. battery lasts a while depending on what i am doing and charges very quickly.,5/5,i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days,0.11,['slightly about nervous cheaper']
51,"we own a macbook pro but needed a second laptop to keep the marriage from going off the tracks. bought the macbook air and are very pleased. it is lighter than our pro, has similar performance, is a bit lighter and cheaper. the only negative is that its two usbc ports are on one side, makes it trickier to keep it plugged in our seating situation. probably not an issue for most. oh, the battery life seems better than the pro. definitely recommend it.",5/5,"the only negative is that its two usbc ports are on one side, makes it trickier to keep it plugged in our seating situation",-0.15,['']
