,Audio Sentences,Audio Polarity
0,fans sounds like will blow op even whit the more silent profile.,Positive
1,the camera quality is acceptable though not great as is the audio too.,Negative
2,it has 3 usb ports (was not sure reading description) and even though the sound is not great my speakers sound great.,Positive
3,"it is like receiving a private invitation to a curated event just for you, complete with lights, sounds, and a black card envelope.",Negative
4,"functions very well, my only gripe is the speakers, not consistent for certain functions.",Positive
5,"the first one i received had no sound out of the box, so it was exchanged for the next one.",Positive
6,the audio drivers on this computer will occasionally just stop working and will sometimes not recognize that audio devices are plugged in like headphones or microphones,Neutral
7,sound is good quality but quiet.,Positive
8,"i did how ever notice some audio cues and problems with this device, it does not seem to have any base to it, so anything with higher pitch just cuts out.",Negative
9,sound quality is good.,Positive
10,"the speakers are bad, you can barely hear anything even at 100. you definitely need headphones.",Negative
11,attached a soundbar and we be jammin'.,Neutral
12,but the sound is pretty bad. | hoping i can figure out a way to fix this without having to add speakers since i would like this to be very portable so my child can do school work on the couch or in his bedroom.,Positive
13,got this laptop in march 2021. it is now october 2021 and the speakers are static. | i have always used an external speaker/headphones so i cannot even say how long the speakers have sounded like this.,Positive
14,the sound quality is fine and it is fast enough for what i need it for.,Positive
15,"the sound quality is subpar, it does not get loud enough for my taste either.",Positive
16,the only negatives i found so far are the sound which is too low and the positioning of the power button.,Positive
17,"very slow, camera not working, sound unreliable.",Positive
18,the computer constantly freezes after 30 minutes and the fan sounds like a jet engine.,Neutral
19,the first day it was great but now the sound is glitchy and barely goes through,Positive
20,speakers are not well suited for anything and it is hard to hear in a room with background noise without holding it up to your head.,Negative
21,the audio will also sometimes not work.,Neutral
22,"i have run into a few strange glitches with sound card, but overall it is as solid as any other windows laptop.",Positive
23,"bluetooth does not work on this model with windows 11, it does not let you play sound through anything but the speakers. | it tells you it is connected to the bluetooth for voice and music but automatically mutes the music and will not unmute unless you go back to speakers, or it just crashes if you keep trying to unmute. | it does not let you uninstall drivers or remove devices, they just reappear when you restart, and eventually it will crash and shut down if you keep trying to get it to use the bluetooth for audio output.",Positive
24,i have to use headphones to watch my college lectures because the speakers are too quiet.,Neutral
25,i have never had a game running so smooth before.no lags or cuts anywhere.it had expandable storage so i bought a 2tb sata hdd and it was soo easy to install.i have only had this laptop for 6 months and so far it is worth every penny.all recent aaa games runs smoothly with a high refresh rate at highest configurations...the 144hz screen does have its charm.there is no disadvantage in buying this laptop but the speakers need to be pointed out though.although i only use headphones...the speaker quality could have used some improvements.,Positive
26,great sound.,Positive
27,"he said i should take 8 to 10 days to come in, its been 14 days and i still dont have it, he didnt sound very interested in my problem either.",Positive
28,"the speakers are located on the bottom side, which works for other laptops, but it requires the speakers have enough power to make it out from under the computer. | at it is loudest it sounds like a pair of headphones turned up- if i have got a fan going in the room then i cannot hear a thing.",Negative
29,overall like the laptop and am happy with the purchase but the speakers are a bit weak.,Positive
30,"second, audio is terrible unless you are wearing headphones.",Negative
31,"i actually like the speakers, it is decent but not high fidelity which is my only gripe with this laptop.",Positive
32,the speakers are underneath and even at 100% it is still hard to hear without an external audio device.,Negative
33,speakers are pretty decent with the sound coming from underneath the computer.,Positive
34,"my biggest issue with this laptop are that the speakers are underneath the laptop, which makes sound very low and muffled, especially if it is being used on your lap, like most laptops are.",Positive
