,Battery Sentences,Battery Polarity
0,the battery works just about 45minutes whit whit normal applications.,Positive
1,both screen quality & battery life are impressive.,Positive
2,"just the battery life sucks but oh well, not like i carry it everywhere",Negative
3,"works great, great battery life and fantastic to work from home.",Positive
4,battery appears to have gone bad.,Negative
5,no real complaints on this laptop other than the maybe the battery life.,Negative
6,battery power is reasonable.,Positive
7,"i ordered this laptop at the end of february 2020, it has been hardly used, and the battery already needs to be replaced.",Negative
8,"my battery does not really last that long, even if i am not using the computer, the battery drains pretty fast!",Positive
9,battery life is dramatically longer than my last and the charge does not take that long either.,Negative
10,battery lasts 3 times longer than her old laptop!,Positive
11,battery life is not nearly a close to 8 hours and speed is adequate.,Positive
12,"the first time it refused to power on, he pressed the reset button underneath for the battery, which worked.",Positive
13,"the performance is amazing, the screen displays great, it is lightweight, and the battery lasts for like 12 hours of continuous use.",Positive
14,at full charge my battery lasts all day sometimes not even needing a charge until the next day. | plus this acer does not have all those junk apps youll never use that waste your battery and cannot be deleted like the laptops sold at walmart.,Negative
15,battery life could be a little bit better but other than that great gaming laptop,Positive
16,battery seems to last,Neutral
17,needs to recharge battery very often.,Positive
18,"i do know the battery life is great, it is fast, and i have no complaints at all.",Positive
19,i bought my samsung chrome last month and it works perfect... very fast and great battery life.. no hassle setting it up. | (remember to charge the battery first before attempting to browse),Positive
20,"the only 2 dislikes that i have about this laptop are that it heats up significantly fast and the battery life is not the best but that is what you should expect from a gaming laptop. | honestly though, the battery is not as bad as some will say.",Positive
21,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
22,only con is battery life off the charger is not great.,Negative
23,battery life is of okay quality.,Positive
24,battery life is excellent at 8 - 11 hours of continuous office work use.,Positive
25,the battery life is definetly not 9 hours!,Neutral
26,"the battery performance during gaming is not great, but 144hz refresh rate and power consumption of the video card during gaming does whittle the battery performance down fairly quickly. | however when used for school and maxed out for battery performance, to include restricting to a 60hz refresh rate, the system easily lasts and entire day at school for my son without needing to be plugged in to recharge.",Positive
27,battery lasts for days.,Neutral
28,took it out of the box and battery was at 79%.,Neutral
29,battery life not as good as i thought other than that one good laptop.,Positive
30,i love the battery life.,Positive
31,"the touch screen works really well, it turns on and loads up fast, surf's the net fast, can download stuff from google play , and the battery lasts a long time.",Positive
32,not even a year has passed and the laptop does not charge anymore also earlier in the year the battery was acting up as well.,Neutral
33,only downside is the battery life is just ok (less than two hours unless you go into powersaver mode and then can get around 3 hours or so.),Positive
34,"battery life is amazing, we never have to plug it in.",Positive
35,"after a month, i am very pleased with the functionality and battery life of this device.",Positive
