,Display Sentences,Display Polarity
0,love being able to use either touch screen or key board. | both screen quality & battery life are impressive.,Positive
1,screen is a little bit less bright.,Positive
2,the display is great and very lightweight.,Positive
3,"all in all it can be a little cheaper for what you get, considering the screen is not the best and a tad dark and dull compared to an hp model i have that is similar.",Positive
4,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe. | take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
5,"does not open up for a long time, grey screen, missing screen items you name it.",Negative
6,i thought this laptop was touch screen.. it is not..i need touchscreen for my husband who has parkinson’s,Neutral
7,after a day i was able to set it up and got it running but it ran slow and the screen froze multiple times.,Positive
8,i gave it 4 stars because it does not have too much ram and the screen quality is not like amazing but that is expected for the price.,Positive
9,"excellent quality price, it is very fast the screen it is good, the sensor fingerprint is very useful and fast.",Positive
10,the screen on the laptop is big and looks great.,Positive
11,"the bonus 15.4"" screen gives me a nice view of my documents, powerpoints and spreadsheets.",Positive
12,the screen was the deal maker there for me. | most everything else for this price level has trash screens.,Positive
13,screen quality is great!,Positive
14,"when viewing the pictures on the left side of the screen it shows a finger printing button on the right lower side, however, this laptop does not come with it, hence, it should not show a picture of another laptop, which could be construed as false advertising.",Negative
15,colors on the screen excellent.,Positive
16,"the 2nd screenshot is after running around in destiny 2 in the throne world of the new expansion. | the screen while a 1080p resolution is silky smooth with the 144mhz refresh rate. | i actually prefer the laptopscreen over my desktop setup, but other than that i barely notice any differences in quality between the 2 machines.",Positive
17,the screen really is as good as the others say.,Positive
18,great screen.,Positive
19,"i love that the screen comes with rich colors and saturation, not many can say about most moderate gaming laptops these days. | the screen is eye friendly as you can turn down brightness to your choosing.",Positive
20,"the performance is amazing, the screen displays great, it is lightweight, and the battery lasts for like 12 hours of continuous use.",Positive
21,"i liked the size of the screen, is fast very fast, i used to work in a dell but drive me crazy how slow was.",Positive
22,the screen is clear and bright.,Positive
23,"the other features are just what you expect them to be: super light, portable, hi-res screen.",Positive
24,"processors, ram, gpu's, display, screen size, etc., so many things to consider.",Positive
25,i am amazed with the performance screen quality.,Neutral
26,"i like it and all but micro soft is not programmed on here, and it is not a freaking touching screen as they say it is.",Positive
27,this laptop only lasted me 5 months before the screen went completely black and now it will not turn on. | it started with the screen blackening in and out while i am in the middle of working or browsing webs.,Negative
28,"this laptop is surprisingly good for the price point, multiple tabs open, relatively responsive touch screen, plenty of storage considering i do not download a lot.",Positive
29,is the screen resolution great? | are there some areas of the screen that are just a weird teal color when they should not be?,Positive
30,not a touch screen.,Neutral
31,it then went black screen.,Negative
32,"it had exactly what i wanted, a 15"" screen (for portability) and a numpad, which is not very common for the size.",Positive
33,the screen quality is great!!,Positive
34,it has a beautiful display and keyboard and has the resources to play every game we have thrown at it.,Positive
35,"my wife and daughter purchased laptops that cost 3x as much and other than not having a touch screen, the acer laptop performs equally as good!",Positive
36,"at the shop, they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem, would not be covered by the warranty and would cost $700 to fix. | two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim. | the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty-plus plan, which costs over $200, for two years, i think, and then $100/year.",Positive
37,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe. | take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
38,the screen is very sharp and it is wonderful for gaming.,Positive
39,it is light and thin with a great screen and keyboard.,Positive
40,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
41,welp had trouble connecting to internet did total restart now its suck on wifi screen will not go any further,Negative
42,it is very fast and the screen is awesome. | bezels are thin and the screen is bright.,Positive
43,"the computer works pretty well, but the touchscreen randomly stops working.",Negative
44,"it has a well lit keyboard, screen images are good, and downloads are smooth.",Positive
45,cova 19 came about so i did not take the coverage glad i did not take it life is tight but the schools shut down did not have much time to do any thing but i thought this would be good the j button works if you push it hard back light is crap and no touch screen,Positive
46,led screen is awesome; the m1 achip is very fast for my type of usage,Positive
47,it also has a super display and keyboard is not cheap feeling.,Positive
48,the screen is great and it works perfectly as far as games but now its cant be used at all .,Positive
49,the screen quality is of moderate issue/concern.,Neutral
50,"is so fancy, great resolution and is perfect for my work, is super fast and i had no problem with the shipping.",Positive
51,this is a very nice computer for the price i have had no complaints and it has given me 0 trouble i really like all the functions on this computer it can be turned into a tablet also and it has a touch screen you really cannot go wrong with this computer,Positive
52,really simplistic in design and is light weight and durable (it probably can handle a modest accident without breaking or the screen shattering). | the screen does not wobble like some other 2in1's. | the screen resolution is about as good as the original kindle fire hd resolution circa 2012 - pretty much years behind to the current technology resolution.,Positive
53,"the hd screen is cool, but what good is an hd screen when hd video streaming causes it to lag horribly?",Positive
54,"i did effect a factory reset using the screen keyboard, but the physical keyboard problem continued.",Neutral
55,"the laptop itself is amazing for what it was bought for to play newer titles at higher frames, it does so on ultra high settings running with vsync at the monitors good 144hz monitor, screen quality is great and the 144hz makes it that much better.",Positive
56,i bought it actually because my old laptop was having difficulty closing the screen because the hinge somehow broke from the screen.,Positive
57,"very light, great screen resolution, has all the basic features i needed.",Positive
