,Hardware Sentences,Hardware Polarity
0,"the computer is fast, slim, easy to type keyboard.",Positive
1,the self standing mode to watch movies without seeing the keyboard is a plus.,Neutral
2,the camera quality is acceptable though not great as is the audio too. | this laptop has enough ports for regular usage.,Negative
3,"take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
4,i do wish it came with the microsoft office but most laptops do not these days.,Positive
5,"keyboard lights up, programs load quickly, and while it is not a chromebook (crapbook if you ask me), it is light weight! | it has 3 usb ports (was not sure reading description) and even though the sound is not great my speakers sound great. | i use my own webcam, so i cannot comment on the internal cam.",Positive
6,i would say the only negative i have found so far is the camera on it is kind of sucky quality.,Positive
7,i thought this laptop was touch screen.. it is not..i need touchscreen for my husband who has parkinson’s,Neutral
8,the limited internal storage space and poor camera are the biggest drawbacks in my opinion.,Negative
9,"also when a i received the laptop, there was gap between the bottom of the laptop and the keyboard, as if it was pried apart at one time or another.",Neutral
10,okay i will start with the good about apple.. my daughters last laptop lasted 10 years(2 batteries and the pad cracked).. started failing.. we bought her this new 2022 macbook air laptop m2.. it weighs very little like a heavy cell phone.. also does not heat up as much.. so far has worked just like her last one so far pretty good.. the new operating system software made it impossible to move her office products over so she put in libreoffice which is free and it mimics office pretty well.. it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc.. they are pretty cheap so not a big problem.. there is a new 1 tb flash drive for a good price(30$) on amazon right now.. adds storage and backup.. has dual usb 3 and 4 which will work on this laptop.. usb 4 is thunderbolt.. if you like apple and need new laptop for 1200 bucks you should get this one..,Positive
11,"the compact keyboard takes some getting used to, but is no problem.",Neutral
12,i have done some research and comparisons and this laptop came out on top a lot.,Positive
13,"it has a few usb ports, and the ethernet port came in handy a few times.",Positive
14,"i am glad it finally came, took longer then advertised for shipping. | came with everything as advertised.",Positive
15,it runs my graphic software perfectly and i love the backlit keyboard as i work at night alit,Positive
16,added a mouse w/usb hub & worked fine.,Positive
17,"i came to amazon to attempt a return and would not ya know it, the ""return window"" close on march 25,2020.",Neutral
18,going over the specs i came to realize it was not going to have that much more storage than i already had in my older laptop.,Positive
19,this computer is full of great options and a light up keyboard!!!!!,Positive
20,bought for my husband.,Neutral
21,the only two things i am not crazy about are a) the camera is not really hd and b) i ordered gold and it looks more like a rose gold color.,Positive
22,"this this light weight, fast, has a great finish on the outside and the keyboard lights up.",Positive
23,the keyboard is just the right size for her hands and the mouse pad has is smooth no glitching or delayed clicks.,Positive
24,"there is a learning curve for those that come from other operating systems like the different feel of the keyboard, shortcuts, trackpad, and overall os. | i purchased the 512 gb model and it came to around $1400 with a sale so it might take a while for the slight buyer's remorse to go away but i feel like the more i use it the quicker i become satisfied with my purchase.",Positive
25,"keyboard close to desk top style. | lighted keyboard, good looking.",Positive
26,"they have all the microsoft office apps downloaded from the play store, video conferences stream without any stuttering at all and it has enough ports to be able to hook up any number of accessories.",Positive
27,my macs all became obsolete and unusable.,Neutral
28,it is just as nice-looking as any apple product and even has a back-lit keyboard so that i can use in dim lighting.,Positive
29,it has a beautiful display and keyboard and has the resources to play every game we have thrown at it.,Positive
30,"two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim.",Positive
31,"take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
32,it is light and thin with a great screen and keyboard.,Positive
33,"came with a good amount of bloatware, but nothing that going through the programs and uninstalling what you do not want will not resolve.",Positive
34,"i dont have a very long review, but i knocked the score down a few points for locking me out of the bios, now i can never boot from usb.",Negative
35,"it has a well lit keyboard, screen images are good, and downloads are smooth.",Positive
36,cova 19 came about so i did not take the coverage glad i did not take it life is tight but the schools shut down did not have much time to do any thing but i thought this would be good the j button works if you push it hard back light is crap and no touch screen,Positive
37,it also has a super display and keyboard is not cheap feeling.,Positive
38,it also has a camera.,Neutral
39,it is sleek and light and the backlit keyboard is nice.,Positive
40,just about the only thing i have objections to is that i do not really like the touchpad much.,Positive
41,"very slow, camera not working, sound unreliable.",Positive
42,nice because husband like the computor too.,Positive
43,"after waiting for years for apple to realize the touch bar was a terrible idea, that a laptop needs a working keyboard, and that the real world requires more than a single usb c port (#donglelife), i was very pleased with the hardware specs of this new model.",Positive
44,"i did effect a factory reset using the screen keyboard, but the physical keyboard problem continued.",Neutral
45,my order came in but i am the wrong color.,Negative
46,not only was the description wrong about the 512 gb ssd that came with the laptop but it also cannot run any games like it advertised.,Negative
47,i bought this laptop knowing it came with windows s-mode but read you could just turn it off.,Neutral
