,Performance Sentences,Performance Polarity
0,i would do ok for things that are not gpu intensive. | they underclocked the gpu so you do not get the full power out of it but i caught it on sale and it was the cheapest laptop that fit my specs.,Positive
1,"if you want to stream or use programs, like google chrome, you need to switch from s mode to home mode.",Neutral
2,this laptop comes with built-in ram (4 gigs) and a 128 gigs of nvme ssd but you can upgrade it.,Neutral
3,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe. | when considering this laptop i recommend purchasing additional 4gb ram to make it an 8gb system as the gpu takes 2gb and leaves you with 2gb for the entire system, with 16gb you really only have 14gb ram. | i have been using this laptop since may 2020 which i upgraded it to 16gb ram from 8gb which i did when i purchase it and 1tb ssd and to this day i have yet to have a problem. | take it out of s mode which i did from day one and the screen is very clear and better on my external monitor, keyboard is amazing in the dark as its backlit and the mouse pad is great...it really beats the i5 8th gen because the gpu is better especially in games where fortnite and halo would skip frames.......overall for a budget i give it 4.5",Positive
4,"obviously it is not a high powered gaming rig so do not expect speed or anything, but for basic tasks like running office programs and maybe organizing files it is sufficient, if a little slow. | so, if you are looking for a small portable netbook that can run microsoft office programs and do basic things, this is not a bad choice for the price, just be ready to work near an outlet.",Negative
5,how is a 2060 nvidia give me 100 more frames then a 3060????,Positive
6,"keyboard lights up, programs load quickly, and while it is not a chromebook (crapbook if you ask me), it is light weight!",Positive
7,the windows installation is unstable and crashes non-microsoft programs regularly.,Neutral
8,i bought this computer bought 8 gb of ram upgraded it to 12 gb of ram and am extremely happy with my computer runs hulu spotify 5 tabs of internet explorer and a couple other games just fine all at the same time,Positive
9,"the ssd is super fast to boot and navigate windows, there is not a lot of bloat ware, anddddd you can upgrade the ram and install another hard drive! | i am amazed how cheap and good this is, another 500$ on a gaming laptop simply gets you more frames per second, and hardly seems worth it unless u are a true gamer.",Positive
10,"went with the base model m1, 256 gig hd, and 8gb ram.",Negative
11,this laptop can also be upgraded with additional ram and ssd drive.,Neutral
12,i gave it 4 stars because it does not have too much ram and the screen quality is not like amazing but that is expected for the price. | ram and ssd both can be upgraded which is what i probably like the most as well.,Positive
13,battery life is dramatically longer than my last and the charge does not take that long either. | the ram is small but was easily upgraded from the back.,Positive
14,"2070 rtx graphics, 10th gen i-7 for $1399 (the price i bought it at currently) is damn solid.",Neutral
15,will comment down the road as to everyday use & performance......,Negative
16,the majority of the time my fps was well over 100. i say this because the 3070 inside this is not a full power desktop style gpu(as stated in the product information above).,Negative
17,"it boots in under 10 seconds and is extremely responsive for basic tasks with just the 4gb ram. | it is worth the extra $35 to just get a 16gb ram kit (do not mix and match unless you are very experienced or it might actually slow your computer down - do not go buy an 8gb stick and throw it in. | there are numerous videos on youtube showing how to install the ram - it is very easy and can be done by anyone. | once done, you have got a very good pc for under $400 instead of paying twice that much for similar performance.",Positive
18,time to choose another brand for the combination of cpu and video.,Neutral
19,"runs most of my games on medium at 200+ frames, never had a game play under 80 frames unless i intentionally set the framers lower for environmental heat reasons (i play outside allot and it is hot lately).",Positive
20,"the vega graphics are awesome a specially only being clocked at 1100 megahertz, so playing anything moderate is great.",Positive
21,"the performance is amazing, the screen displays great, it is lightweight, and the battery lasts for like 12 hours of continuous use.",Positive
22,"works well in starcraft and i have not upgraded ram yet , so ya nice",Positive
23,i have a lenovo core i7 with 16 gb of ram and this acer is faster.,Neutral
24,can handle most standard tasks and programs with ease.,Positive
25,"i bought this laptop in december 2020. i was actually debating myself between this one or a similar windows computer, i almost went for the windows because the processor of the macbook air 2019 was not good enough (intel core i3), but i decided to wait and two weeks later this one was launched. | it is way superior than any intel core processor, i just love it.",Positive
26,"processors, ram, gpu's, display, screen size, etc., so many things to consider.",Positive
27,i am amazed with the performance screen quality.,Neutral
28,throw some extra ram in there and it works great!,Positive
29,"the laptop is equipped with 4gb of ram and windows 10 s mode. | it worked fine, but i upgraded it with an additional 8gb of ram and converted it to regular windows 10.",Positive
30,"i like it and all but micro soft is not programmed on here, and it is not a freaking touching screen as they say it is.",Positive
