,Price Sentences,Price Polarity
0,not worth the $600 as much as it is very convenient to use for daily web surfing.,Positive
1,they underclocked the gpu so you do not get the full power out of it but i caught it on sale and it was the cheapest laptop that fit my specs.,Positive
2,amazing value for the money.,Positive
3,save your time and money..,Neutral
4,"for the money and overall affordability of this machine, it actually is quite impressive.",Positive
5,it is a great deal for the price.,Positive
6,although affordable price. | do not waste your money on this laptop.,Positive
7,this little puppy gets the job done at half the price of the bigger one.,Negative
8,i was looking for an inexpensive laptop for classes.,Neutral
9,"what all this says is that this machine can be pimped out with parts that cost much higher than its own value. | all in all it can be a little cheaper for what you get, considering the screen is not the best and a tad dark and dull compared to an hp model i have that is similar. | battery power is reasonable. | while i think that this computer is fine for such purposes i also believe that its price-point is just a bit high for its particular specs for which i am withholding a star that i would otherwise give it if it were seventy-five or a hundred dollars cheaper.",Positive
10,it looks goid and works well and the price ilwas a steal.,Neutral
11,"so, if you are looking for a small portable netbook that can run microsoft office programs and do basic things, this is not a bad choice for the price, just be ready to work near an outlet.",Positive
12,"overall, for the price, i think it is great.",Positive
13,"great value, super fast, reasonable memory, easy set up, love the backlit key board, easy navigation...….",Positive
14,i got it when it was on sale and i like the model but now i am going to have to pay more money for the same product.,Positive
15,"i purchased it because of it is price and convertible design. | depending on what you plan to use his for, this might be a great low cost option. | there are a lot of other devices out there in this price range though.",Positive
16,"this is not a gaming laptop as the price shoulllllld suggest. | i am amazed how cheap and good this is, another 500$ on a gaming laptop simply gets you more frames per second, and hardly seems worth it unless u are a true gamer.",Positive
17,for the money this is a great computer.,Positive
18,"if you are trying to play the latest aaa games, you need to invest in a laptop that is around the price range of 1100 bucks and higher. | the upgrade cost is about $40, so if you factor that in with the price, it will still be less than most laptops.",Positive
19,okay i will start with the good about apple.. my daughters last laptop lasted 10 years(2 batteries and the pad cracked).. started failing.. we bought her this new 2022 macbook air laptop m2.. it weighs very little like a heavy cell phone.. also does not heat up as much.. so far has worked just like her last one so far pretty good.. the new operating system software made it impossible to move her office products over so she put in libreoffice which is free and it mimics office pretty well.. it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc.. they are pretty cheap so not a big problem.. there is a new 1 tb flash drive for a good price(30$) on amazon right now.. adds storage and backup.. has dual usb 3 and 4 which will work on this laptop.. usb 4 is thunderbolt.. if you like apple and need new laptop for 1200 bucks you should get this one..,Positive
20,i gave it 4 stars because it does not have too much ram and the screen quality is not like amazing but that is expected for the price.,Positive
21,"excellent quality price, it is very fast the screen it is good, the sensor fingerprint is very useful and fast.",Positive
22,"lastly, i like the look of the pc, definitely worth the price.",Positive
23,"2070 rtx graphics, 10th gen i-7 for $1399 (the price i bought it at currently) is damn solid.",Neutral
24,"the power supply is very small, and the laptop is a very reasonable size as well.",Negative
25,it is not worth anything above 250$ in my opinion. | but it is still a decent deal for most else in it is price class otherwise. | most everything else for this price level has trash screens.,Positive
26,"overall, it is a very good laptop with a nice price!",Positive
27,this appears to be a very good computer for the price paid.,Positive
28,it is worth the extra $35 to just get a 16gb ram kit (do not mix and match unless you are very experienced or it might actually slow your computer down - do not go buy an 8gb stick and throw it in. | it is not worth saving $15-20).,Positive
29,it does everything my other laptop does and was half the price. | in this price range though this is the best deal for your money,Positive
30,i also recently recommended it to a friend of mine who is looking to purchase a reasonably priced laptop.,Positive
31,"i bought this as an inexpensive alternative to my larger laptops to use for game night to save on table space, and i have been nothing but impressed. | for the price, it is an incredible deal. | it is probably worth double it is price.",Positive
32,never had the money to even build a pc but really enjoy the mobility of a laptop. | if you are poor then idk what to tell you except spend money so you can live.,Positive
33,for the price you cannot beat it.,Neutral
34,"i look for days, read reviews and this laptop was in a great price and bunch of great reviews.",Positive
35,this is worth every penny and i am so happy with this purchase.,Positive
36,"the delivery speed is very fast, the quality is very good, i like it very much, the price is also good, i suggest to buy.",Positive
37,do not waste your money.,Positive
38,"i know people who do not have more than one apple device hear all the time that having more than one always works great because of the ecosystem but usually only take it at face value. | i feel like despite all these positives there is still the high price. | my final thoughts would have to be, if you have the money to purchase this at any configuration then go for it.",Positive
39,the laptop is running great and i think it is an exceptional value.,Positive
40,was looking for a solid laptop at an affordable price and i got it.,Neutral
41,the price was phenomenal surprisingly with the rise in costs of such items with covid home schooling trend recommending it to all my friends.,Positive
42,save your money and just buy a laptop!,Neutral
43,"this laptop is surprisingly good for the price point, multiple tabs open, relatively responsive touch screen, plenty of storage considering i do not download a lot.",Positive
44,"wow, worth the money.",Positive
45,"window 10 s is not good , it costs extra money to upgrade to better software",Positive
46,the price is great and the laptop is amazing! | got it because i am a student and due to the virus my classes have been moved online so i needed something with a decent price and i love it!,Positive
47,i did loose my mouse once but figured out how to retrieve it fairly easily and i am not tech savvy at all.,Positive
48,this is a great gaming machine at a fantastic price for what you get.,Positive
49,i recently bout a hp laptop around the same price and it works a lot better.,Positive
50,"my wife and daughter purchased laptops that cost 3x as much and other than not having a touch screen, the acer laptop performs equally as good!",Positive
51,"at the shop, they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem, would not be covered by the warranty and would cost $700 to fix. | the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty-plus plan, which costs over $200, for two years, i think, and then $100/year.",Positive
52,taking advantage of customers wanting an affordable laptop. | i would like a refund for half the price given the product only has half the memory and 8gb of ram.,Negative
53,"with the processor and graphics card given, this is an amazing laptop for the price. | you would not be wasting your money if you buy.",Positive
54,works well for school wish i had read i to description more no sd card or disc reader so cost was not as well as i thought after buying external readers,Positive
55,great laptop for a great price.,Positive
56,great value for the money!,Positive
57,"not a powerhouse, but very responsive for the price.",Positive
