,Software Sentences,Software Polarity
0,i miss being able to download software....,Positive
1,"i am an it guy, use different kinds of hardware and software on a daily basis. | i purchased this for light purpose use. | word documents, spreadsheets and maybe some light media, but not serious gaming or for photos and videos.",Positive
2,nothing else loses a connection.,Negative
3,"i did not know what s mode was until i researched and found that s mode is a safety mode from microsoft. | it prevents any downloads except for microsoft known products. | if you want to stream or use programs, like google chrome, you need to switch from s mode to home mode. | so, once you switch, i recommend purchasing and downloading antivirus software.",Neutral
4,"we have become increasingly frustrated by the poor quality of the apps that we install in our smart tv, and so for most kinds of content we have taken to viewing it on a chromebook and casting it to the tv if necessary.",Negative
5,what all this says is that this machine can be pimped out with parts that cost much higher than its own value. | i would particularly recommend it for those with children at home who want a work-horse device for homework and such. | while i think that this computer is fine for such purposes i also believe that its price-point is just a bit high for its particular specs for which i am withholding a star that i would otherwise give it if it were seventy-five or a hundred dollars cheaper.,Positive
6,"this laptop flies at every basic day to day task even in dual screens, i play some games like fortnite, minecraft dungeons and halo master chief collection as well as some games on xbox game pass as i have an xbox, i have used photoshop 3 layers max, illustrator 3 layers max and primere pro for basic stuff and it runs 1 adobe program smooth with 8gb ram or 3-4 with 16gb of ram at a time depending on how much ram you have installed, but it can be upgraded to 32gb ram max to do more especially with layers in adobe.",Positive
7,i do wish it came with the microsoft office but most laptops do not these days.,Positive
8,"for those uses, it is acceptable. | obviously it is not a high powered gaming rig so do not expect speed or anything, but for basic tasks like running office programs and maybe organizing files it is sufficient, if a little slow. | it is also small, which was what i was specifically looking for without having chrome os, so it does not have great visuals. | so, if you are looking for a small portable netbook that can run microsoft office programs and do basic things, this is not a bad choice for the price, just be ready to work near an outlet.",Positive
9,"keyboard lights up, programs load quickly, and while it is not a chromebook (crapbook if you ask me), it is light weight! | i hate windows operating system but that has little to nothing to do with the laptop.",Negative
10,"horrible computer, help desk is impossible.",Negative
11,the windows installation is unstable and crashes non-microsoft programs regularly.,Neutral
12,"the acer chromebook spin 311 is a huge upgrade from my previous chromebook and it suits most of my needs. | depending on what you plan to use his for, this might be a great low cost option. | i think it is important to find out what features matter most to you before you decide.",Positive
13,"we have learned to rely on acer in the past but this aspire 5's bios and user friendliness is way short of what we have come to depend on. | sorry, acer, this computer can only be labelled a pos.",Negative
