,Storage Sentences,Storage Polarity
0,it was a gift for my kids 17th birthday.,Neutral
1,"despite this, the hd is really clear and crisp.",Positive
2,very disappointed after 90 days the storage of c drive space is running out.,Negative
3,"it has tons of hook up options, including ethernet and hdmi, headphones, and component (able to use my mouse).",Positive
4,"this laptop comes with built-in ram (4 gigs) and a 128 gigs of nvme ssd but you can upgrade it. | i also tried to upgrade the storage but it is tricky to move onto a bigger stick and i want to do that, as well as, add a 2tb regular ssd drive along with the nvme ssd.",Neutral
5,also add a ssd to increase storage as you only have about 110gb available. | i have been using this laptop since may 2020 which i upgraded it to 16gb ram from 8gb which i did when i purchase it and 1tb ssd and to this day i have yet to have a problem.,Positive
6,the limited internal storage space and poor camera are the biggest drawbacks in my opinion.,Negative
7,"the ssd is super fast to boot and navigate windows, there is not a lot of bloat ware, anddddd you can upgrade the ram and install another hard drive!",Positive
8,"went with the base model m1, 256 gig hd, and 8gb ram.",Negative
9,this laptop can also be upgraded with additional ram and ssd drive.,Neutral
10,okay i will start with the good about apple.. my daughters last laptop lasted 10 years(2 batteries and the pad cracked).. started failing.. we bought her this new 2022 macbook air laptop m2.. it weighs very little like a heavy cell phone.. also does not heat up as much.. so far has worked just like her last one so far pretty good.. the new operating system software made it impossible to move her office products over so she put in libreoffice which is free and it mimics office pretty well.. it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc.. they are pretty cheap so not a big problem.. there is a new 1 tb flash drive for a good price(30$) on amazon right now.. adds storage and backup.. has dual usb 3 and 4 which will work on this laptop.. usb 4 is thunderbolt.. if you like apple and need new laptop for 1200 bucks you should get this one..,Positive
11,ram and ssd both can be upgraded which is what i probably like the most as well.,Positive
12,going over the specs i came to realize it was not going to have that much more storage than i already had in my older laptop.,Positive
13,only thing is a small hd but i bought an upgrade to 2tb and an external 1tb so it is all good.,Positive
14,the only two things i am not crazy about are a) the camera is not really hd and b) i ordered gold and it looks more like a rose gold color.,Positive
15,"it has minimal storage, but most things are on the cloud nowadays.",Positive
16,"this laptop is surprisingly good for the price point, multiple tabs open, relatively responsive touch screen, plenty of storage considering i do not download a lot.",Positive
17,chromebooks in general have very little storage space and uses the cloud to sync all your items on the go.,Negative
18,i use the cloud to save my files so i do not have a lot on my hard drive.,Negative
19,"very happy with it so far, though i plan to upgrade the storage",Positive
20,"i sold my $3k 2015 macbook pro 15”, 512 gb ssd, 16gb for $600 and purchased the new macb 13”.",Positive
21,"two issues with my 2020 apple macbook pro with apple m1 chip (13-inch, 8gb ram, 256gb ssd storage): 1) debris can fall into the seam between the keyboard and screen unseen and 2) i kept having to adjust the brightness; even though i set the screen to be bright, it kept returning to dim.",Positive
22,also add a ssd to increase storage as you only have about 110gb available. | i have been using this laptop since may 2020 which i upgraded it to 16gb ram from 8gb which i did when i purchase it and 1tb ssd and to this day i have yet to have a problem.,Positive
23,512gb ssd received a 256gb hdd.,Neutral
24,"the extra storage would be nice too, but it is easily upgradeable.",Positive
25,add more ram and second hard drive and take it out of windows 10 s mode.,Positive
26,"the screen resolution is about as good as the original kindle fire hd resolution circa 2012 - pretty much years behind to the current technology resolution. | 64 gigs storage is simply not enough space to store music, pictures and movies, if you have google cloud that is your best bet to go about storage.",Positive
27,"the hd screen is cool, but what good is an hd screen when hd video streaming causes it to lag horribly?",Positive
28,"if you want a good laptop for the right price with per key rgb with an rtx card and a newer processer this is for you, and ram can be upgraded as well as storage.",Positive
29,not only was the description wrong about the 512 gb ssd that came with the laptop but it also cannot run any games like it advertised.,Negative
30,"does not have enough memory, but you can use external hard drive.",Negative
31,i would recommend purchasing an external ssd via usb or usb-c. the drive space is very limited.,Negative
32,i opted for the pro with a larger hard drive just for a bit of extra storage.,Negative
33,the 128 gb m.2 hard drive makes this thing very responsive and snappy.,Negative
34,"the only way you are really going to open up the possibilities for this laptop is to, as other reviews suggest, get out of windows s mode, and invest in adding more ram and installing a second 2.5"" ssd. | i ended up spending an additional $120 for 2 sticks of 8 gb ram and a 1tb ssd so my total cost (after black friday deal) was just under $380.",Positive
35,storage is in one drive cloud.,Neutral
36,i increased the memory and ssd and now it is fast as lightning.,Positive
37,"it has minimal storage, but most things are on the cloud nowadays.",Positive
38,i have this as a birthday gift for my daughter.,Neutral
39,i chose to add an additional 4gb of ram and a 2.5” ssd. | ram and ssd installation were extremely easy. | make sure you have screws to mount the ssd to the bracket. | also the ssd will most likely need to be formatted if it is brand new.,Positive
40,"i liked it at first, but after a couple of months a grey line appeared on the screen and the hd started to make a noise.",Positive
41,i have never had a game running so smooth before.no lags or cuts anywhere.it had expandable storage so i bought a 2tb sata hdd and it was soo easy to install.i have only had this laptop for 6 months and so far it is worth every penny.all recent aaa games runs smoothly with a high refresh rate at highest configurations...the 144hz screen does have its charm.there is no disadvantage in buying this laptop but the speakers need to be pointed out though.although i only use headphones...the speaker quality could have used some improvements.,Positive
42,"it has a solid state drive and an empty ram slot and even an extra, empty sata hard drive slot. | the bracket for this second hard drive is taped inside the case, you have to remove the bottom panel to get access to the components. | if you put in an extra ram stick, plus a 7mm thick sata type hard drive, then you have a very cheap and decent multimedia laptop that can do tasks a bit faster than the stock configuration.",Negative
43,easy to upgrade ram and hdd.,Positive
44,"before turning it on, i installed 4 gb of additional ram, for a total of 8gb ram, and i installed a 240gb ssd. | so my system now has 8gb, and 360gb of ssd available total. | fhd is super sharp, colors are very saturated and it looks gorgeous. | those full hd lenovos at this same price point have washed out screens. | so i spent 18 for ram, 25 for ssd.",Positive
45,"as tested: ryzen 3 3200, 4gb ram (upgraded to 8gb), 128gb ssd (added 2tb hdd)",Neutral
46,disk drive d (the one with all the storage) is locked and is asking for a 48 digit recovery's key.,Neutral
47,the laptop is made to be upgraded which i did for the ram and ssd.,Neutral
48,"the screen is plain old hd, but you cannot have everything at that price point and type is still reasonably crisp.",Positive
49,"the 4 gb ram & 64 gb ssd are great upgrades from original specs and make this unit such a tremendous value. | good port selection too incl usb 3, usb c, hdmi, & headphone.",Positive
50,we purchased this product for my son’s birthday.,Neutral
51,no mechanical hard drive that would eventually fail.,Negative
52,"bought this to replace the desktop i built in 2015, so far im impressed, i recommend ordering crucial ram 8gb ddr4 3200mhz cl22 with it, and a ssd as space is limited, i had a 256 gig sitting around that i popped inside it. | the one gripe i have is popping open the clamshell case to perform the ram upgrade and install the ssd was more difficult than i think it should be, it made me miss the days they left a little trapdoor port for easy access and upgrades.",Positive
53,"the ssd is pretty small, but can be overcome with a sd card or portable hdd.",Neutral
54,ram and ssd can be upgraded later which is another nice spec.,Positive
55,it will not recognize it because of low hard drive space!!!!,Negative
56,i love how light the laptop is and that you can easily upgrade the ram and storage.,Positive
57,full size hdmi port works great for presentations; too many tiny computers require an adapter.,Positive
58,very good laptop :) my boyfriend doesnt leave it even for a sec.... he always plays he games and use this laptop till it dies :) very clear hd display keys are smooth,Positive
59,i spent 60 dollars more and bought 8 more gigs of ram and a 512 nvme hard drive and i could not be happier with the performance.,Positive
60,"there is no hdmi port, there is no usb port.",Neutral
61,expandable hard drive and crystal clear screen.,Negative
62,the processor makes this fast and it has impressive storage and graphics.,Positive
63,the device is very fast and i upgraded to the 512gb ssd.,Positive
64,"hdmi port stopped working 4 months after purchase. | but for $300, a rarely used hdmi port shouldnt fail that soon.",Negative
65,ssd - fast boot times. | able to add more hdd/ssd? | added another ssd on the sata/hdd slot.,Positive
66,i would suggest going with more expensive fhd version as the 1080 hd is not as sharp as what is more standard these days.,Positive
67,i made this purchase for my sons 8th birthday.,Neutral
68,"128gb storage, but the system occupies 77gb.",Neutral
69,"for the price its great if your going to try and game like good quality high demand games it wont do so great but i didnt get it for gaming i got it for needing a computer on the go that i can move around and use for my drones gopro and car or whatever i needed cause lugging a gaming desktop around wasnt ideal and i have a very big and very heavy gaming laptop that i dont care to take around unless i plan on gaming on the go so this was a perfect cheap latop that would get anything basic i needed it for and i upgraded the ram to 32gb and put a 2.5"" ssd 1tb in it so i can upload my gopro footage and drone footage if i need to make room on the micro sd card and it works great the boot time is actually so fast its a little faster then my gaming desktop on a m.2. | i plug a hdmi cable in it and watch movie on my tv cause it only uses like 7w or something low. | great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
70,i did connect a second monitor with hdmi. | it is a full hd display and the color is much warmer and more realistic than the screen on the laptop. | i see that the laptop does not have hdr.,Positive
71,"upgrades can be done to it very easy and all the hardware is included, having an nvme ssd is a nice + as the system and application load time is super fast, with an extra 29.99 you can add a secondary but mechanical 1tb hardrive and with the included hardware instalation is a breeze.",Positive
72,"bought this unit for its price point and the fact that it has an open bay to add a 2.5"" ssd and an open slot for additional dram memory. | by leaving the original ssd in place, upgrading the disk capacity is very easy and fast, as there is no need to clone any system software.",Positive
73,you are unable to click any links they give you to move forward..two hours on outsourced support from hp wherein they determine it is a password issue..mind you the computer recognizes the user but it frozen in a screen asking you to set up a pin...support is clueless and will not give you any links to make warranty claim...sent me a link to buy a support contract.....while this is under warranty..total outsourcing bs by hp why i myself use a mac not any windows product...a birthday gift that became my problem.,Negative
74,i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings! | the screen is very clear as well and is very hd.,Positive
75,"my computer is very good, it has dual chanel for ram memory (expandible 32gb), and i can install other hard disk (hd o ssd), but your original ssd nvme is the speed low.",Positive
76,this was a birthday gift & he absolutely loved everything about it.,Positive
77,"added more memory, and an internal hdd.",Positive
78,i still use a few programs that have disks and prefer local (not cloud) storage. | this thing has next to no ram/ storage and needs to be upgraded almost out of the box.,Negative
79,"got this on short notice after my old dell's hard drive died suddenly. | the hard drive space is a tad small for my liking, but i bought an external 1tb drive to deal with that.",Negative
80,"it has a nice hd display, a good build quality and can be used for light gaming. | you can also upgrade the m.2 ssd or add a sata 2.5in ssd and leave the 128gbs ssd as a boot drive.",Positive
81,"i ordered this on a one-day ""flash sale"", and i had the choice of intel or amd, nvidia, intel uhd or vega3 graphics.",Neutral
82,"despite low ram and hard drive, it is pretty fast while browsing and doing any kind of work on it. | also, you can always upgrade the ram and hard drive for few extra bucks and this laptop still will be cheap.",Positive
83,i have a flight sim and a pc projector which is ceiling mounted like 40' away and has a looooong hdmi cable. | unpluged the flight stick and long hdmi cable and it boots fine. | the answere is to leave the joy stick and hdmi unpluged unless it is on and using it....,Positive
84,"little lacking on the ram and hard drive but easily upgraded. | i added another 4gb of ram and a 500gb ssd hard drive, links below ($85.00).",Negative
85,"loads very quickly with the ssd boot drive but the drive is very small and you may have to add a drive if you have a lot of pictures and files. | the only problem i had is adding a secondary hard drive. | i am now going to try the ssd option, but i will have more money in this laptop than i would if i had i got one with more storage ad memory. | if you will need more storage, this is something you should consider.",Positive
86,comes with a 128gb nvme m.s ssd.,Neutral
87,acer aspire 5 slim laptop 15.6 inches full hd computer stop working this month july 2021. i purchase this item in october 2020 as a christmas gift for my grandson.,Positive
88,"i am keeping in mind that i can upgrade my hard drive and ram someday when things start to slow down, and if i start to require heavier usage out of this laptop.",Negative
89,it has good sized memory and hard drive size and a fast operating system.,Positive
90,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
91,great battery life and fast to update with a lot of storage.,Positive
92,this has been the best birthday present my father ever received.,Positive
93,"i like how lightweight it is, the ram is upgradeable & so is the ssd drive!",Neutral
94,did you know you can no longer auto save with microsoft work to you hard drive?,Negative
95,acer aspire 5 slim laptop 15.6 inches full hd computer stop working this month july 2021. i purchase this item in october 2020 as a christmas gift for my grandson.,Positive
96,the extra space for a hard drive... cheap easily installed memory... all great.,Positive
97,"that is good thing, but too cheap inside (one memory slot, minimal capacity of hdd without ports to extend )",Positive
98,"the ssd drive is nice, but it is only 128 gb. | added a 500 gb samsung t5 portable ssd drive using the usb 3.1 port to hold all the files from my old laptop as well have more than enough space for the next few years.",Positive
99,put in a 500gb samsung ssd drive and gave me the black screen of death permanently.,Negative
100,"the useable storage space is also very limited--i was able to install about 20 gb of files before i reached the ""64 gb.""",Positive
101,it was easy to take out of s-mode and it can be upgraded to get more storage.,Positive
102,"it have very slim frame in screen, great material, full powerfull to do many task and enough storage to use windows. | however, if you find more storage; you probably have to buy an external hard disk or another ssd with more space.",Positive
103,this laptop at $310 with an nvme ssd is unreal.,Neutral
104,would love a little more storage on the hard drive itself.,Positive
105,expandable hard drive and crystal clear screen.,Negative
106,i use an external hard drive for photos and music cause is a 256 and 8g.,Negative
107,"even with what appears to be minimal specs in ram and hd size, thus far we have not been disappointed. | the unit boots up extremely fast due to the ssd and since everything we do is stored on the cloud, we actually have hd space to spare.",Negative
108,hd video steaming?,Neutral
109,the storage is not the biggest but you can always upgrade or buy an external drive.,Neutral
110,best laptop money can buy easily upgradeable i bought 16gb ram now i have 20gb ram and 500gb ssd for extra space if you want to use for music you have to download all the drives from other program cuz laptop wont pick up old drives all in all great deal,Positive
111,this solves my issue although i did add a an additional hard drive and more ram because i also edit video.,Positive
112,it has a second 2.5 drive space and i installed an ssd.,Neutral
113,full hd resolution and vibrant color.,Positive
114,"the 2nd thing i hate is it comes with windows ""s"" installed to a 128gb ssd. | but not on that ssd because linux wears them out very quickly.",Positive
115,"i added another $20 stick of ram to up the total to 8gb, and an ssd i had laying around for more storage because the stock 128gb obviously will not be enough for most people.",Positive
116,"i did add another 4gb stick of ram and a 250 gb ssd. | boots up very quickly and is a significant improvement over previous laptop that used standard hard drive. | the ssd install was also fairly easy for someone that is used to working with computer parts, but if you a first timer, would seek help or at least a youtube tutorial.",Positive
117,going to upgrade ssd and memory.,Neutral
118,i upgraded to 16gb of memory up from the 4gb and added a second 500gb hard drive.,Negative
119,"bought this laptop for my kid, very sufficient processing speed, ssd, full hd, windows 10 safe mode, excellent buy.",Positive
120,may replace the drive to give additional storage space.,Neutral
121,"simple laptop, 128gb storage is not anything to brag about, but i am happy with the overall value.",Positive
122,"i love the keyboard on this and the slots included are the hdmi, usb 3.0,and the c port as well.",Positive
123,"let it be known that before even powering this laptop on, i swapped the ram for 2x16gb for 32gb total, and added a 2nd ssd(2.5"" format)",Neutral
124,"it has eveyrthing i was looking for: speed, storage, screen, etc.",Neutral
125,"you have so many options for upgrade ability including replacing the original m.2 solid-state drive, adding either a hdd or sata ssd, and upgrading the ram.",Positive
126,"they boast about having a 1080 hd screen , ultra fast wifi yet i find this machine is as slow and the graphics as poor as my 5 year old dell.",Negative
127,"what can i tell you this computer is a good deal for the price and easy to upgrade ,which i did with the memory by myself and i am 83 three years old , next will be the hard drive.",Positive
128,"this thing was way too slow at bootup to be running off an ssd, and the problems kept getting worse.",Negative
129,the best thing about this item is that its price (especially when on sale) is amazing for a full hd ips screen.,Positive
130,"compared to other computers i looked at in this price range, the 1080p screen, backlit keyboard, and 128gb solid state hard drive really make this a stand out.",Negative
131,"i immediately bumped the ram from 4gb to 16gb and added a 2.5"" 1tb ssd.",Neutral
132,add 4-8gb more of ram and a 1tb hard drive (easy enough to do) and this laptop will give you just about all you need short of medium-hard gaming.,Positive
133,"i would like it more if it came have with a usb-c, and a connector for adding a 2.5"" hard drive. | but you can buy one online for about $11 and add your hard drive from your old laptop for more storage to complete a better.",Positive
134,i opened it up and put in 4 more gb of ddr4 and a 500 ssd card i took out of my previous laptop .,Positive
135,"it is an asus, it has a 10th generation i3 chipset, 8gb ram and an m.2 hard drive.",Negative
136,very fast startup with the ssd.,Positive
137,"so, besides the 8gb of memory ordered i ordered a 1 tb ssd drive. | one drive is very clunky but is very usefull for not loosing data when the hard drive goes or for this instance when i got a new computer. | you will not be disappointed and even though i ordered more memory and a bigger ssd the laptop is pretty good just the way it is.",Positive
138,add more ram and second hard drive and take it out of windows 10 s mode.,Positive
139,"its speedy, great touchscreen, nice graphics, hdmi output which we use for our outdoor projector to watch movies.",Positive
140,"then i put in a 1 tb hard drive, and a 1tb ssd and installed more ram, so i have 8gb instead of 4gb.",Positive
141,well i bought me a 4gb ram stick and a new internal ssd with 1tb storage that i reinstalled windows on (windows 10 because i prefer it.,Positive
142,"128gb ssd, amd ryzen 3200u, decent graphics card, backlit keyboard.",Positive
143,i love how light the laptop is and that you can easily upgrade the ram and storage.,Positive
144,"it is advertised as hd, but it reminded me of my intel 8088 from about 30 years ago.",Neutral
145,"the gaming part is good,but if you want cc for sims 4 make sure you have file space/storage in your folders.",Positive
146,"i came back to get the specs to upgrade the ram, and i found that the hard drive is 256gb, not 1024 and my i5 is 2.4 ghz, not 4.2. but it works, and its stable",Negative
147,"when it comes to gaming i can run games like rainbow, gta, and other decent sized games at a good fps with no lag, i recommend a hard drive for lots of big games though, this is amazing because it is also perfect for casual use like school, work, browsing.",Positive
148,i will review the star rating in a day or two after i get sorted out the size of battery overlapping the ssd drive port.,Neutral
149,you will need an external hard drive for it has very little space,Negative
150,"acer has videos on youtube that show you how to add an additional hard drive, so that was helpful. | i put in a 1tb ssd and another 8gb of ddr4 sodimm ram. | when i had the laptop open, it appeared as if you could take out the 128gb pcie nvme ssd that ships with the laptop and put in a larger one, so that is an idea. | it has an ethernet port, usb 3.1 ports, hdmi port, etc, so that is convenient compared to my macbook (which only has thunderbolt 3 ports and requires dongles or adapters for everything). | overall i am really loving this laptop, it was very affordable, easily upgradeable hard drive and memory, and it is working great.",Negative
151,but the laptop came without hdd screws and so there lay my hdd outside my laptop.,Neutral
152,i bought this to replace a dying dell latitude 620. the second internal slot for a hard drive made the sale. | the ssd is small but i added a 1 gig standard 7mm thick hard drive. | the price is great at $365 even after adding a hard drive and adding a second stick of 4 gig ram.,Negative
153,"), something i could never do with a windows laptop (i should mention that i bought my computer directly from apple and upgraded to the 16bg ram and more storage, which helps immensely with load up time).",Positive
154,"i did upgrade the ram to 40gb (swapped a 8gb out for a 32gb), and added a 1tb ssd in the previously empty secondary hdd slot.",Negative
155,"all we really wanted to do was to use it with an hdmi cable to stream shows on our tv, and to type documents.",Positive
156,there is no hdd just a ssd storage which has your os on it. | i upgraded the ram to 2 16gb cards and 500gb ssd. | there is a place for hdd with the ribbon cable inside already.,Neutral
157,"i like the screen quality but the storage memory is too low, and the audio volume max is at a pitch below a whisper.",Neutral
158,i bought this for my daughter as a early birthday present.,Positive
159,the 128 gb m.2 hard drive makes this thing very responsive and snappy.,Negative
160,it is great has great storage and my sister who is great at tech said it is also great for gaming for those who game.,Positive
161,"this one is much faster, has a lot more memory 8gb and storage 128gb, but is also quite a lot heavier (and cost twice as much).",Positive
162,"(intel i7-10750, 16gb ram, rtx 2070 gpu, 512gb nvme ssd)",Neutral
163,"the speakers are not loud and sound slightly tinny, but overall the laptop has a good hardware set and still ram and hdd upgradable.",Positive
164,"if i hook up the hdmi to another monitor, i can see a distorted display. | he said it was not worth fixing and next laptop i buy should be an intel processor with a solid state hard drive.",Negative
165,i have not added a hard drive as i do not store photos or other media on my computer but the option is there if you need more space.,Positive
166,"bought this unit for its price point and the fact that it has an open bay to add a 2.5"" ssd and an open slot for additional dram memory. | by leaving the original ssd in place, upgrading the disk capacity is very easy and fast, as there is no need to clone any system software.",Positive
167,"too bad the ssd is only 128 gb and ram is 4gb, although you have the option to upgrade in the future.",Negative
168,i also charge my samsung gear watch and oneplus 7 pro via usb from the laptop with an awesome little usb to hdmi adapter that has a couple extra usb ports.,Positive
169,has a extra 2.5 sata drive bay for extra ssd storage if you are willing to add.,Positive
