,product_name,review_title,review_body,review_rating,review_date,user_username,user_profile_url,verified_purchase
0,PlayStation 5 Console,Worth the wait!,"After looking for almost a year, and waiting months for an invite to purchase, I was able to order the PS5 disc edition and I cannot be more pleased.  I picked up Sackboy: A Big Adventure and Ratchet & Clank Rift Apart to start my library, and both are more than impressive.  The system is easy to set up, and the resolution is incredible, even on a non-4K television.  I am using a 1080p LG oled and the picture and frame rate is magnificent.  When I upgrade TV's later on, I can only imagine the difference.",5.0 out of 5 stars,"October 23, 2022",W. R. Nichols Jr.,https://www.amazon.com/gp/profile/amzn1.account.AF6Y3L62ZWPNMFCHFRVGH4DBNCVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
1,PlayStation 5 Console,Finally! Amazon makes getting a PS5 possible!,"I've wanted a PS5 for a while now. Ironically, it has less to do with any PS5-exclusive games (you can count those on one hand, pretty much), but after getting a 4K TV, I wanted to see just how big of a difference there was in my existing PS4 library...plus, I wanted a PS5 anyway. Given the problematic microchip shortage (still aching to get a Raspberry Pi Zero 2 W, thanks scalpers), I wasn't confident in getting one of these anytime soon, not to mention the rampant scalping that is still ongoing. When I heard about Amazon's invitation approach, I thought ""what the heck?"" and gave it a shot. I got my invite days later, and pulled the trigger.I got a month of the Premium Plus membership, which I also heartily recommend, especially for those who are just starting too dip their toes into video games. It's a real good deal. Played through all of Dark Pictures: Little Hope and Ys IX, and a few game trials and more. It's at its best on the PS5, BTW. The system is excellent, but I should mention that at this time, it's essentially a ""Super PS4 Pro"". I know that this is consistent with new systems, and it appears that current global events are putting the stranglehold on more innovation, but I am glad to see some really awesome PS5 games coming soon, especially Alan Wake 2, Street Fighter 6, and more.I've just gotta say it. The system looks weird, and weirder still on its side. It comes with a base that does the job, but like my wife described it, it looks ""melted"". My own opinion, I think it's too much design, but don't judge a book by its cover. The system and interface is exceptional, and gameplay is wonderful. The controller has even more heft to it than the PS4 DualShock, probably thanks to all the little motors in it delivering haptic feedback. This takes a lot of getting used to, but it's so novel that I'm more intrigued by it than anything else.I'm really glad to get one of these, even if it was at full MSRP. (I usually wait for Black Friday deals, but given the current climate for microprocessors and the demand of these, I wasn't counting on this for at least a couple of years.) For anyone who has struggled to get one, really just request an invite. No obligation, but mine literally shipped and arrived the day I ordered it. No other business is even coming close to as (frankly) elegant way of fighting the scalpers on this front than Amazon. Now if they would just do the same for those Raspberry Pis, I'd be thrilled!",5.0 out of 5 stars,"July 12, 2022",Daniel Hemsath,https://www.amazon.com/gp/profile/amzn1.account.AHMVFM5M3T6DENSTHTAS3GGXDWYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
2,PlayStation 5 Console,Finally!!!,"After two years of searching and months being on the Amazon waitlist…I got the email to purchase a PS5! Love the console. It’s bigger than I thought it would be, but it’s super quite and fast. I loved that all the games I had in the cloud could be retrieved on here and all of my saves moved over. That took about 2 hours, but it was well worth it. I’ve been using for a few mo that now and the white controller is still as bright as it was out of the box. I was nervous with it being white, it would show dirty hand/sweat/dirt markings, but so far that has not been the case. So happy I was able to finally get a system and enjoy the new games coming out with the graphics and speed that the game designers envisioned when they made it!",5.0 out of 5 stars,"October 7, 2022",Sara,https://www.amazon.com/gp/profile/amzn1.account.AG7VJ6MRXABA7SHIYBMSPEAQBZEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
3,PlayStation 5 Console,Worth it,"100% worth the purchase. Took me almost a year to procure but I’m so happy I didn’t settle. I don’t know how much faster than the PS4, but it blows it out of the water. It’s more than a “glorified streaming device”",5.0 out of 5 stars,"October 20, 2022",Megan Khan,https://www.amazon.com/gp/profile/amzn1.account.AF6X2GJWQYIK5M7QWRR6J5FSSBEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
4,PlayStation 5 Console,As expected,Signed up for invite. Got invite. PS5 delivered. Dream fulfilled. Worth the wait to just pay retail. The system itself is amazing. Everything I hoped for.,5.0 out of 5 stars,"October 27, 2022",JB,https://www.amazon.com/gp/profile/amzn1.account.AH6AJOKB32F3NS7HHWZA2RQ6QKDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
5,PlayStation 5 Console,Love it,"So far am loving it...have had every system except the 4 and never really been disappointed in any of them so far. The only thing have ever had a complaint about is the fact you have to start over buying games everytime other than with the ps2. I think they should make every system, playstation xbox and nintendo where they can play all old system games ESPECIALLY as expensive as games are these days.  It is ridiculous to spend the money on all these games to have to turn around and repurchase the same or newer version when the next system comes out.  That is part of reason never bothered with the ps4, I was tired and could not afford to keep starting over and most times the games I loved like the Breath of Fire series never made it to the newer ones.",5.0 out of 5 stars,"September 20, 2022",mkjohnson4471,https://www.amazon.com/gp/profile/amzn1.account.AHCPVDKW2BE57IYPSVY6XRVPROFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
6,PlayStation 5 Console,Awesome upgrade from the PS4,"I was on the wait-list for quite a long time but it was worth it. My son had a huge smile for his very late birthday gift (maybe early Christmas gift?)! Very quick load times and just a great system. Gran Turismo is very fun, highly recommend it!",5.0 out of 5 stars,"October 13, 2022",Tom G.,https://www.amazon.com/gp/profile/amzn1.account.AEF3ZDNLMIIHC6Q5EQAOAZQV4LJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
7,PlayStation 5 Console,Very Playstationey!,"This thing plays PS5 games like a MONSTER! It's the real deal! The only downside is the controller battery charge duration is equivalent to a 3oz canteen on a July Death Valley survival hike.Bonus:  it does play most (not all) PS4 games, so you don't need to trash all your antique retro games like Anthem.",4.0 out of 5 stars,"October 19, 2022",Bill C,https://www.amazon.com/gp/profile/amzn1.account.AF5YFFVPYHDN62JXXXRBDEI3QQ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
8,PlayStation 5 Console,Bang for the Buck!,To be able to play in 4k and more fps. It's definitely a huge upgrade from playing on my PS4 and everything just felt more smooth and felt more in-depth when playing a game like spiderman.,5.0 out of 5 stars,"October 9, 2022",gearmetal23,https://www.amazon.com/gp/profile/amzn1.account.AHZ44PXWC62OCBIG4RVFKBX4OMNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
9,PlayStation 5 Console,My brand new ps5,"Loved the console, loved the shipping and handling. Amazon is the best for buying and shipping items and this is where I shop at for now on.",5.0 out of 5 stars,"October 19, 2022",Victor Macias,https://www.amazon.com/gp/profile/amzn1.account.AEVZKA6WIOYQWTPER4JRTOSNJGTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
