product_name,review_title,review_comment,review_rating,review_date,user_username,user_profile_url,verified_purchase
Apple AirPods Charging Latest Model,Charging is horrible,Charger doesn’t consistently charge. Drains while plugged in. Same with pods.  Pods sound fine and they charge well will an older charge.,3.0 out of 5 stars,"October 23, 2022",Teddi,https://amazon.com//gp/profile/amzn1.account.AEEOGXVM2BGCWUKFTSPOQRG4GYAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,"Works perfect with Dell laptop, Samsung cell phone, and Ipad",Easy steps to follow for all devices.,5.0 out of 5 stars,"October 22, 2022",Pama,https://amazon.com//gp/profile/amzn1.account.AHX5TAR3ETH4DMFH62DKVYRVAB5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Apple does it again,Apple is always top quality and these are no exception. They work exactly as you would expect and Amazon had them at a better price than any one in my area. Even cheaper than some were selling used ones online.,5.0 out of 5 stars,"October 22, 2022",Charlie P.,https://amazon.com//gp/profile/amzn1.account.AFDLXRCZ32KFAMUHAHLOVJCIVY3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Works good,No problems  they work good,5.0 out of 5 stars,"October 22, 2022",Paula Pearson,https://amazon.com//gp/profile/amzn1.account.AHKZ4BKVILTLTGJHT4IRPM6RZZUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Good product,"confortable, very good product",5.0 out of 5 stars,"October 22, 2022",Reynaldo Rodriguez,https://amazon.com//gp/profile/amzn1.account.AFW5SVJPK6STNBGKRG7LO7GDQ7NA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Great product,Great product,5.0 out of 5 stars,"October 22, 2022",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AE4SFN4AY5YSM4DGVYNCIWXYZCKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Outstanding product,Listen to music,5.0 out of 5 stars,"October 22, 2022",Dana A. Byerson,https://amazon.com//gp/profile/amzn1.account.AG3OCBP6JCHVA5AS7J4N76M3GW6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Great review on Apple air pod.,Sound quality is better than other air pods.,5.0 out of 5 stars,"October 22, 2022",Danilo,https://amazon.com//gp/profile/amzn1.account.AG3XEUU7CLHEH4KV5BRVLAOA5EWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,DO NOT WASTE YOUR MONEY,"These units were manufactured 2019 AND HAVE NO APPLE WARRANTY! Amazon will try to pass you off to Apple. Apple will tell you “these items are 2+ years out of the Apple warranty. Again, don’t waste your money!!",1.0 out of 5 stars,"October 22, 2022",Dana Fadalla,https://amazon.com//gp/profile/amzn1.account.AESEIHSIUDQ7VGJYL7O5O3M23WGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,Pleased,They work well.,5.0 out of 5 stars,"October 22, 2022",Sue,https://amazon.com//gp/profile/amzn1.account.AEQACAYDVBS22MXRDNLXPTSL53AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
Apple AirPods Charging Latest Model,SO EASY!!!!,I’ve used budget off brands that are ok but the real thing is SEAMLESS!!!! I may actually use these because there’s no effort in connecting them to my phone.,5.0 out of 5 stars,"October 22, 2022",Mitchyg,https://amazon.com//gp/profile/amzn1.account.AGAFMSIGJOCKMLDP6H6OMEOFRLOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,True
