review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
Love it,Best laptop ever!,Carlos,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 11, 2021",
Excelente,Es un Excelente computador llego en el momento que dijeron.,Nicolas Ospina Ospina,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 25, 2021",
Compact but powerful,Love this machine. have had it a couple months and it's fast battery lasts insanely long.,GM,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 2, 2021",One person found this helpful
Happy with Laptop,I’m happy with the product this far.Arrived on time.,Shanana,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 30, 2021",
Speed of light.,Feels faster than any high powered desktop. This thing is unreal. Never even gets warm,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 9, 2021",
It has great battery life,Camera quality,John Lungu,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 12, 2021",
Awesome Battery Life,"The battery life is awesome, just one charged in a day in case you use it for demanding tasks.",Eduardo McCoulley,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 8, 2020",
perfect size,Love that its compact and can take it anywhere - fast and easy to use.,Laura Rolls,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 4, 2021",
Love it lite and sturdy,So far great learning a Mac system though but can find help at every corner of the net,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 26, 2020",
Excelente Laptop La Recomiendo 100%,"Muy Contento con la laptop, es exactamente como la pedi !!!",Reinaldo Palazzi,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 2, 2021",
Very well packaged,Bought one for myself last week. Love it so much bought one for my husband 😊,nataliefreire4,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 9, 2021",One person found this helpful
It lasted 1 year only,"I bought my computer in Feb 2021. Now it is April 2022 and it shuts itself off without warning, with a defective pink screen. I'd be surprised if it lasts throughout the month. I'm not sure if this is due to planned obsolescence, or some other reason. Either way, I am not impressed. One year is not a good shelf life for a computer. My previous MacBook lasted only 2 years before it shut itself down for good. My older MacBook Pro from 2012 still works, so I know that it is not me that is the problem.",manda,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 19, 2022",7 people found this helpful
Fast delivery,Daughtzr loves it!,Brian Garrett ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 2, 2021",One person found this helpful
