,review_body
0,"I bought my computer in Feb 2021. Now it is April 2022 and it shuts itself off without warning, with a defective pink screen. I'd be surprised if it lasts throughout the month. I'm not sure if this is due to planned obsolescence, or some other reason. Either way, I am not impressed. One year is not a good shelf life for a computer. My previous MacBook lasted only 2 years before it shut itself down for good. My older MacBook Pro from 2012 still works, so I know that it is not me that is the problem."
1,I spent more than six hours on the phone with Apple support trying to get this to work. Total fail and waste of time. I never thought I’d buy an apple product that was defective.
2,"This is my very first MacBook finally, got it out of necessity for work backup computer and will work great w/easy setup and ability to connect to home wifii. Brand new 2020, no touch screen but impeccable quality for a smaller laptop and unbeatable price!"
3,"I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect."
4,"The one we received worked just fine. However, it’s uneven so when I try to sit it on a flat surface to type, it rocks. Rather annoying and something I never thought of before."
5,I’ve only been using my MacBook Air for a few weeks now but it’s already the best purchase I’ve made in a long time. I was debating getting either a windows or an apple computer and decided in the end to get this MacBook Air. The screen itself is amazing and I love how smooth the keyboard types. And as someone who has a phone and an iPad it’s so convenient having all my devices synced up. Highly recommend!
6,I’ve been wanting to switch from my pc. Everything else I own is Apple. When the prime day price popped up I couldn’t resist. It is definitely a learning curve but fairly easy to get used to. As far as I can see I don’t need to add any programs. I was able to migrate everything from my PC and this baby is FAST!
7,"First new computer since 2011. Replaced an old iMac with this. Blazing fast, bright graphics, responds well, well built. And a fantastic value. With 256G of storage, it cost the same as the new Apple Watch Ultra."
8,I am so impressed  cause when I just sow the price I said noway but its fantastic really am happy and this is coming from a android person don't think a lot just get it
9,"This is my first macbook and thank you for changing the shipping restrictions, I was able to buy one. I am still adjusting with the keyboard and the OS coming from a long time windows user. The battery life is amazing. Better than my windows laptop. Hopefully I can buy the higher specs next time, I don't mind paying the tax. I originally wanted to get the 16gb ram and 1tb storage, but it doesn't ship to my location. And thanks for the fast shipping."
10,"Yes, there are ""thousands "" of apps available as advertised. They do not include popular apps such as Amazon, Facebook, Spectrum  Instagram or Sprint. Work related apps like Indeed and LinkedIn. Other apps for stores we like to shop at.  You can access these website on the browser. FYI, that's how I accessed websites on my very first laptop...in 1997.  Works great for reading email and Facetime."
11,Had to take computer to Apple care center because after spending 3 hours in the phone with Apple support they couldn’t help me anymore. Thankfully  computer was under warranty so I didn’t pay  and they were able to fix it but the closest apple care was 2 hours from my home. Computer works great now though!
12,"To hard to set up and use. Not real computer literate, old man. Always used android computers. First MacBook and at this point would not buy again.  Have iPhone, iPad, and I something for music. Those are easy to use. Not the MacBook. Bought brand new, won’t buy a MacBook next time. Haven’t used it once since I got it. Heard they were so much better than androids. Don’t think so."
13,"I bought this MBA for my wife for Valentine's Day, and she has been in love with it ever since. She thinks it was the best Vday gift that she has gotten in years, it does everything so well!"
14,"I bought this 2020 MacBook Air (8 GB RAM, 256 GB SSD storage) to replace a 2014 MacBook Air (4GB RAM, 256 GB SSD storage).  I am undeniably a fan of Apple products in general, because they work with little fuss and are built to last (note that my old MacBook Air is more than 7 years old and still working perfectly).  Although I've been underwhelmed by some Mac models in recent years, this one is stellar IMHO.  Unless you have very heavy system requirements this machine would be an excellent choice."
15,"As many others have shared, the Apple MacBook Air M1 is a great laptop. The display is gorgeous. The keyboard is accurate and smooth. Apple has the best trackpads! Battery life is so good that there is no anxiety over having enough power to finish the day."
16,Nothing wrong with the MacBook itself. It was just not practical for me what I needed for my work. So I started a return. First you send them the product I guess in good faith. Then once they receive the item then with in 7 days they will refund your purchase. Mind you I returned this in the complete original package only 4 days after receiving it. It’s going on 2 months and nothing but Crickets from everyone. Buyer Beware!!
17,"La compré para actualizar mi iMac de casi 10 años que ya anda algo lenta. La nueva iMac no me agrada su diseño, así que también por presupuesto adquirí esta MacBook Air M1 a muy buen precio, es muy ligera lo cual hace que pueda transportarla fácilmente. Es realmente rápida comparada con mi antigua Mac y con la compu del trabajo."
18,Not sure where these laptops were stored but the musty smell was overpowering when I opened up the box.  The main culprit was the power cord.  I went online to find a solution and found multiple complaints about this model’s cord.  LOVE the computer….hate the cord smell.  Luckily it stays charged so long that I can put it in another room to charge every 3rd day.
19,"Even in 2022, this laptop is a solid choice. As can be expected from Apple, the build quality feels premium. It is lightweight yet sturdy and the hinge feels great as well. I can open the screen to any angle I want without worrying about it feeling flimsy. Coming from an older, heavier laptop with loud fans, I appreciate the fanless design of this MacBook immensely as I never have to feel like I am disturbing anyone with loud fans."
20,"The battery only lasts a few hours before it is dead, despite being used for menial tasks that do not typically drain a battery much. Not at all what I was expecting based on their marketing."
21,"I read the comments and it seemed legit but when I received my package, I didn’t get a MacBook. I got a broken HP with no charger!!! Now I have to wait forever for my refund"
22,"This MacBook is excellent. I’ve had it for a year now and it’s impressing me more than I thought it ever would. Every day, straight for 1 year and it’s working like a beast, the only thing is to not eat over it as the keyboard gets pretty mucky and you have to get it deep cleaned. In conclusion, this computer is more than a beast than my old 2015 Macbook Pro"
23,"i've had my m1 macbook air (16 gb ram, 512 gb storage) for about a year, and it's the best computer i've ever owned. for the majority of users, the base model will be enough, but if you want to upgrade ram, it's not a bad choice. works amazing for everything i do, screen quality is great, audio is pretty good, performance is amazing. all around great laptop for 95% of people."
24,"i cant image how come apple will put such a low resolution camera on a 1000 laptop. i bought it mainly for zoom meeting but it's not to my expectation, so i returned it"
25,"The 2020 MacBook Air BigSur OS is one of the newest computers on the market at the moment and one of Apple’s best designs. Apple has had many MacBook models throughout their many years of being the best electronic company, but The BigSur OS has many features that other models and other company computers do not have. This MacBook comes with high quality upload speed, all-day battery life, and superfast memory, which makes it the best choice for any computer or laptop right now."
26,"Through the past year and a half, students have had to use personal computers and laptops for everyday tasks, most importantly being school. From my personal experience I believe that the MacBook Air 2020 is the best tool for the job. If you plan to frequently use a personal computer or laptop in the future, the MacBook Air is the right choice because of its processing speed and storage, ability to keep a charge, and the apple compatibility that it uses."
27,"Yay, spent a G on a new grey screen of death.  A month after the return was received by amazing... still no refund.  Spend the extra $150 and get it from Apple.  Duh?"
28,I purchased a new version and I was sent a refurbished one.I found that it was refurbished when I tried adding apps to the laptop.A pop up came on the screen stating certain apps are not compatible with jail broken laptops.
29,my new 13in Macbook Air has a lot of fingerprints on the INSIDE of the glass screen. It's on the top left corner down the left side and starts along the bottom. I don't like it .
30,DO NOT BUY. This computer has had issues from day 1. I’ve had to go to the Mac store 3 times now and I’m going again on Monday. It’s always a new issue. USELESS!!!!!!!
31,"I had several problems so took the MacBook Air into Best Buy for help.  I was told I had received ""a lemon"" and should return it to Amazon.  I had it 3 weeks so was able to return it for a refund which I am waiting for right now.  I have loved my 2012 MacBook Air and am hoping the next one I order will be okay."
32,"I was able to snag one of these for $700 with the M2 MacBook Air arriving the day after I am writing this review. If it was in this price bracket all the time, it would be a no brainer best choice, and I am having a hard time finding worthy competition even at its $1,000 msrp range."
33,This piece of junk is unable to connect wirelessly to  my printer.  My 10 year old mac has no problems printing on my Epson printer.  I have tried everything suggested and it still claims my printer is OFFLINE.
34,The Mac is great as a school computer and i use it almost everyday. With that being said I dont have to charge it often and it has little to no problems. Overall a great product.
